Study author ,Placebo (N /mean/SD) ,Paracetamol (N /mean/SD) ,NSAID (N /mean/SD) ,COX-2 (N /mean/SD) 
Inan 2007 ,20/8.55/5.18 ,,20/5.4/4.3 ,
Cakan 2008 ,20/12.45/7.02 ,20/11.25/8.42 ,,
Peduto 1998 ,10/14.90/15.1 ,,10/17.4/12.7 ,
Fogarty Mack 2001 ,29/17.40/8.8 ,,,30/12.6/6.5 
Cheng 2004 ,15/19.50/8.3 ,,15/16.9/6.5 ,
Xuerong 2008 ,47/20.10/12.8 ,42/12.1/9.9 ,,
Kvalsvik 2003 ,30/21.10/11 ,30/16.8/8.4 ,,
Varrassi 1994 ,47/21.70/19.88 ,,48/15/13.2 ,
Cassinelli 2008 ,12/22.10/18 ,,13/8/7.5 ,
Fong 2008 ,20/27/7.2 ,,,40/12.5/5.76 
Karaman 2006 ,20/29.7/3.8 ,,40/23/3.41 ,
Hsu 2003 ,48/30.8/19.4 ,,45/20.9/14.9 ,
Munro 1998 ,19/30.9/22.6 ,,18/17.4/15.5 ,
Riest 2008 ,80/31.3/21.8 ,,,240/25.93/20.73 
Trampitsch 2003 ,22/31.6/3.91 ,,44/28.33/4.24 ,
Fletcher 1997 ,15/32.9/25.2 ,15/28/20.3 ,15/25.7/17 ,
Durmus 2003 ,20/34.9/10.35 ,,,20/25.6/5.92 
El-Halafawy 2004 ,30/35.5/12.6 ,,,30/25.5/8.3 
De Decker 2001 ,15/36.5/20.3 ,,45/23.53/15.82 ,
Chau-in 2008 ,15/36.6/8.9 ,,,34/26.8/10.42 
Fayaz 2004 ,20/37/15 ,,17/27/12 ,
Plummer 1996 ,49/38/20 ,,55/32/18 ,
Thompson 2000 ,18/38.2/20.8 ,,18/33.2/16.9 ,
Vandermeulen 1997 ,256/39.2/27.6 ,,258/34.6/25.9 ,
Delbos 1995 ,30/43.1/15.9 ,30/34.5/12.7 ,,
Hernandez-Palazon 2001 ,21/43.3/15.3 ,21/26/12.2 ,,
Hubbard 2003 ,63/43.5/18.7 ,,,126/33.97/17.77 
Ready 1994 ,45/44/26 ,,96/31.96/23.23 ,
Siddiqui 2008 ,100/44.2/8.2 ,,,100/35.1/7 
Colquhoun 1989 ,15/44.8/24 ,,15/44.6/20.7 ,
Jirarattanaphochai 2008 ,60/45.2/21 ,,,60/28/14.1 
Martinez 2007 ,21/47/27 ,,,41/25.54/12.32 
Owen 1986 ,31/48.2/25.1 ,,29/39.1/17.1 ,
Rao 2000 ,19/51/23.86 ,,20/33/16.03 ,
Tang 2002 ,18/51/27 ,,,37/33.51/20.21 
Alexander 2002 ,32/51.6/22.2 ,,67/41.34/27.11 ,
Rowe 1992 ,14/51.6/28.1 ,,13/36.3/23.82 ,
Cobby 1999 ,21/54.9/28.3 ,24/35/20.4 ,20/32.7/27.4 ,
Blackburn 1995 ,29/55/22 ,,30/43/17 ,
Hegazy 2003 ,15/55.1/12 ,,15/36.6/9 ,
Moodie 2008 ,41/56.5/30.73 ,,82/46.05/37.48 ,
Sinatra 2005 ,52/57.4/52.3 ,99/39.56/32.57 ,,
Malan 2003 ,65/57.5/31.83 ,,,116/40.35/35.62 
Balestrieri 1997 ,66/58.1/24.9 ,,133/44.01/24.26 ,
Sevarino 1992 ,12/58.75/58.89 ,,23/30/45.6 ,
Hodsman 1987 ,31/59/27.84 ,,31/38/22.27 ,
Schug 1998 ,26/59.5/42.3 ,25/50.3/40.1 ,,
Etches 1995 ,78/64.2/38.6 ,,79/39.6/26.7 ,
Siddik 2001 ,20/66.7/20 ,20/61.1/23 ,20/36/18 ,
Ng 2003 ,17/72/27.22 ,,,19/54/23.86 
Gillies 1987 ,18/78/38.18 ,,39/53.97/30.53 ,
Pertunnen 1992 ,15/80.4/43.37 ,,15/32.4/25.17 ,
Celik 2003 ,20/93/6 ,,20/63/6 ,
Lee 2008 ,18/141.5/74.9 ,,,38/73.56/59.42 
Alhashemi 2006 ,NA ,22/65/30 ,23/58/25 ,
Munishankar 2008 ,NA ,24/54.5/28.5 ,25/44.1/24.4 ,
